name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2007-01-01,56.8,38.4,46.8,56.8,36.8,46.3,41,81.4,0,0,0,,,,,5,61,1024.8,36.4,8.6,,,,,2007-01-01T07:25:15,2007-01-01T17:01:24,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-02,57.3,42.5,49.5,57.3,42.1,49.1,42.3,77.1,0,0,0,,,,,8.5,332.1,1022.2,71.5,9.5,,,,,2007-01-02T07:25:23,2007-01-02T17:02:12,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-03,59.2,43.8,51.6,59.2,43.4,51.1,47.3,85.5,0.014,100,12.5,rain,,,,12.1,163.3,1021.5,89.1,6.9,,,,,2007-01-03T07:25:30,2007-01-03T17:03:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-04,54.6,44.3,51.2,54.6,37.4,49.5,43.9,77.5,0.135,100,50,rain,,,43.3,23.8,290,1021,70.6,8.5,,,,,2007-01-04T07:25:34,2007-01-04T17:03:53,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-05,54.8,43.3,47.9,54.8,36.4,43.7,27.4,45.4,0,0,0,,,,39.1,20.2,326.3,1030.7,13.4,10.6,,,,,2007-01-05T07:25:36,2007-01-05T17:04:46,0.52,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-06,55.3,36.5,46.1,55.3,33.2,45.6,37.1,71.3,0,0,0,,,,,10.1,312.9,1033.1,37.6,10.2,,,,,2007-01-06T07:25:36,2007-01-06T17:05:39,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-07,58.8,39.3,48.2,58.8,38.4,47.9,40.8,76.5,0,0,0,,,,,9.6,339.5,1033.3,2.2,10.3,,,,,2007-01-07T07:25:34,2007-01-07T17:06:34,0.58,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-08,64.5,44.6,53.2,64.5,42.8,52.2,40.2,62.3,0,0,0,,,,,10.5,88.6,1027.7,0.2,10.8,,,,,2007-01-08T07:25:30,2007-01-08T17:07:30,0.62,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-09,57.6,42.7,49.6,57.6,40.8,49,41,72.9,0,0,0,,,,,5.7,107.1,1020.9,8,9.8,,,,,2007-01-09T07:25:24,2007-01-09T17:08:27,0.66,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-10,53.7,38.6,45.7,53.7,36.2,42.9,38.4,77,0,0,0,,,,41.4,26.5,277.6,1016.4,37.9,9,,,,,2007-01-10T07:25:15,2007-01-10T17:09:25,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-11,50.6,39,44.1,50.6,33.6,39.3,28.2,54.1,0,0,0,,,,31.1,15.3,309.5,1016.8,24.7,10.8,,,,,2007-01-11T07:25:05,2007-01-11T17:10:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-12,47.2,36.6,41.7,40.2,30.9,34.8,17.5,39,0,0,0,,,,35.6,21.9,360,1021,3.9,10.4,,,,,2007-01-12T07:24:52,2007-01-12T17:11:23,0.8,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-13,48.6,34.5,41.1,47.8,29.1,37.3,14.3,35.1,0,0,0,,,,,14.2,25.8,1025.6,18.7,11.1,,,,,2007-01-13T07:24:38,2007-01-13T17:12:24,0.85,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-14,49.4,31.1,39.3,46.3,29.7,37.4,24.2,57,0,0,0,,,,,14.9,44.5,1026.7,14.3,10.5,,,,,2007-01-14T07:24:22,2007-01-14T17:13:25,0.89,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-15,53.3,33.3,42.5,53.3,29.2,39.7,25,52.1,0,0,0,,,,,10.2,52.3,1030.9,5.3,10.8,,,,,2007-01-15T07:24:03,2007-01-15T17:14:27,0.93,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-16,49.6,30.5,41.4,46.2,26.2,38.7,33.7,74.7,0.084,100,12.5,rain,,,,14.2,292,1026.5,50.1,9.6,,,,,2007-01-16T07:23:42,2007-01-16T17:15:30,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-17,54,37.8,45.2,54,34.1,42.3,34.6,67.4,0.027,100,8.33,rain,,,,13.3,346.3,1022.3,28.2,10,,,,,2007-01-17T07:23:20,2007-01-17T17:16:33,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-18,58.4,34.3,44.4,58.4,31,43.9,31.8,63.7,0,0,0,,,,,8.2,348,1024.7,21.6,10.7,,,,,2007-01-18T07:22:55,2007-01-18T17:17:37,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72493023230,72492723285,72495593227,72493893231,72494023234"
san francisco,2007-01-19,54.2,37.4,45.2,54.2,33.6,44,38.2,76.8,0,0,0,,,,,10.5,303.1,1020.7,34.1,9.2,,,,,2007-01-19T07:22:29,2007-01-19T17:18:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-20,57.8,36.2,45.9,57.8,34.9,45,39.3,78.8,0,0,0,,,,,11.7,279.1,1020.4,31.9,8.9,,,,,2007-01-20T07:22:00,2007-01-20T17:19:46,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-21,64.4,44.5,53.1,64.4,42.7,51.6,26.3,37.5,0,0,0,,,,39.1,16.5,337.6,1022.4,28.8,10.5,,,,,2007-01-21T07:21:30,2007-01-21T17:20:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-22,59.5,42.3,49.3,59.5,38.5,47.7,26.4,42.3,0,0,0,,,,,10.4,343.4,1025.6,4.5,10.4,,,,,2007-01-22T07:20:57,2007-01-22T17:21:57,0.07,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-23,57.5,36.3,46,57.5,35.7,45.6,34.2,64.3,0,0,0,,,,,6.9,20.8,1026.1,0.5,8.2,,,,,2007-01-23T07:20:23,2007-01-23T17:23:03,0.12,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-24,58.4,37.6,46.9,58.4,36.5,46.1,36.5,68.6,0,0,0,,,,,9.6,321.1,1022.9,1.6,6.6,,,,,2007-01-24T07:19:47,2007-01-24T17:24:09,0.17,Clear,Clear conditions throughout the day.,clear-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-25,51.9,38.9,45.4,51.9,36.8,43.5,40.6,83.5,0,0,0,,,,,9.9,297.6,1021.4,49.7,4.6,,,,,2007-01-25T07:19:09,2007-01-25T17:25:16,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-26,48.5,40.9,46.2,48.4,38.2,44.8,42.5,87,0.103,100,20.83,rain,,,,7.4,165.2,1016.9,90.5,3.5,,,,,2007-01-26T07:18:29,2007-01-26T17:26:23,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-27,54.8,46.4,49.5,54.8,46.4,49.4,46.7,90.4,0.197,100,41.67,rain,,,,8.5,358.7,1016.4,94.7,3.1,,,,,2007-01-27T07:17:48,2007-01-27T17:27:30,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-28,57.5,47.7,50.5,57.5,45.3,50.2,46,84.9,0.068,100,20.83,rain,,,,9,28.4,1018.6,71.2,5.9,,,,,2007-01-28T07:17:04,2007-01-28T17:28:37,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-29,59.9,45.7,51.6,59.9,44.5,51.4,43.3,74.8,0.001,100,4.17,rain,,,,9.3,299.3,1018.6,62.4,8.2,,,,,2007-01-29T07:16:19,2007-01-29T17:29:44,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-30,57.1,41.3,49.2,57.1,41.3,49.1,42.4,77.8,0,0,0,,,,,15.2,272.7,1014.8,62.9,9.8,,,,,2007-01-30T07:15:32,2007-01-30T17:30:52,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-01-31,54.3,49,50.8,54.3,44.8,49.3,41.3,70.1,0,0,0,,,,,13.2,281,1016.3,74.7,9.5,,,,,2007-01-31T07:14:44,2007-01-31T17:31:59,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-01,50.9,47.5,49.6,50.9,44,48.2,40.5,70.8,0,0,0,,,,,9.4,280.7,1018.2,98.6,9.7,,,,,2007-02-01T07:13:54,2007-02-01T17:33:06,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-02,54.5,44.1,49.5,54.5,43.1,48.4,38.9,67.2,0,0,0,,,,,10,1,1022.7,81,8.7,,,,,2007-02-02T07:13:02,2007-02-02T17:34:14,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-03,56.5,38.7,48,56.5,38.7,47.8,40,74.4,0,0,0,,,,,6.8,60.8,1027,36.4,5.3,,,,,2007-02-03T07:12:09,2007-02-03T17:35:21,0.51,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-04,59.9,42,50.7,59.9,41.1,50.6,40.9,70.5,0,0,0,,,,,6.4,25.7,1024.3,50.7,5.7,,,,,2007-02-04T07:11:14,2007-02-04T17:36:28,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-05,61.8,44.3,51.3,61.8,41.8,50.8,44.1,77.3,0,0,0,,,,,15.4,328.1,1020.9,72.5,5.1,,,,,2007-02-05T07:10:17,2007-02-05T17:37:35,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-06,58.9,45.6,52.3,58.9,43.4,51.7,45.6,78.5,0,0,0,,,,,9.5,288.2,1019.5,83.9,6.9,,,,,2007-02-06T07:09:19,2007-02-06T17:38:42,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-07,60.4,51.1,55.4,60.4,51.1,55.4,49.8,81.3,0.23,100,41.67,rain,,,,17.1,151.8,1016.7,98.4,9.1,,,,,2007-02-07T07:08:20,2007-02-07T17:39:49,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
san francisco,2007-02-08,57.5,50,53.8,57.5,50,53.8,50.5,88.6,0.245,100,54.17,rain,,,,14.3,139.2,1017.4,98.1,7.7,,,,,2007-02-08T07:07:19,2007-02-08T17:40:56,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72493023230,72495593227,72492723285,72493893231,72494023234"
