name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-01-01,12.7,5.4,9,12.7,3.8,8,-4.1,40.2,0,0,0,,,,37.1,24.4,36.8,1020.2,3.3,16,129.3,11.3,5,,2015-01-01T07:25:14,2015-01-01T17:01:27,0.43,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-02,10.3,2.6,6.4,10.3,0.7,6,0.3,65.5,0,0,0,,,,,9.1,51.7,1021.9,20.6,15.7,115.7,10.1,5,,2015-01-02T07:25:22,2015-01-02T17:02:16,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-03,11.2,2.4,6.6,11.2,1.1,6.5,2.1,73.9,0,0,0,,,,,12.7,344,1024.5,18.1,14.6,125.5,11,5,,2015-01-03T07:25:28,2015-01-03T17:03:06,0.49,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-04,11.4,4.5,7.7,11.4,3.4,7.4,3.7,76.7,0,0,0,,,,,11.6,35.3,1028.7,51.6,12.5,102.7,8.9,4,,2015-01-04T07:25:32,2015-01-04T17:03:57,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-05,13.2,5,9.3,13.2,4.3,9.2,4.1,70.7,0,0,0,,,,27.7,9.1,102,1026.9,46.7,14.1,124,10.8,5,,2015-01-05T07:25:34,2015-01-05T17:04:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-06,14.4,5.3,10.3,14.4,5.3,10.2,5.2,71.6,0,0,0,,,,,10.1,349.3,1023.4,13.7,13.3,126,11,5,,2015-01-06T07:25:34,2015-01-06T17:05:43,0.51,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-07,16.2,6.2,11,16.2,6.2,11,6.6,75.3,0,0,0,,,,,7.1,52.6,1021.1,15.3,14.8,122.4,10.6,5,,2015-01-07T07:25:32,2015-01-07T17:06:38,0.53,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-08,14.6,8,11.2,14.6,8,11.2,7.9,80.4,0,0,0,,,,,7,356.8,1017.6,67.6,13.1,59.1,5.2,3,,2015-01-08T07:25:27,2015-01-08T17:07:34,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-09,16,9.5,11.9,16,9.5,11.9,9.4,85.5,0,0,0,,,,,13.6,321,1016,73.6,11.6,121.6,10.6,5,,2015-01-09T07:25:21,2015-01-09T17:08:31,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-10,15,9,11.5,15,9,11.5,10.1,90.8,0,0,0,,,,,12.4,315.9,1015.7,68.3,12.4,93.8,8.1,4,,2015-01-10T07:25:13,2015-01-10T17:09:29,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-11,12.8,7.8,10.4,12.8,7.8,10.4,9,90.9,0,0,0,,,,,15.6,331.6,1019,63.6,11.8,123.6,10.7,5,,2015-01-11T07:25:02,2015-01-11T17:10:27,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-12,14.5,7.6,10.6,14.5,7.6,10.6,9.2,91.7,0,0,0,,,,,15.7,290.9,1023.3,46.1,12.7,112.3,9.8,5,,2015-01-12T07:24:50,2015-01-12T17:11:27,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-13,18.3,7.4,11.5,18.3,7.4,11.5,7,77.2,0,0,0,,,,25.9,9.9,25.4,1021.8,22.1,12.8,134,11.5,5,,2015-01-13T07:24:35,2015-01-13T17:12:28,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-14,14.7,6.2,10.8,14.7,6.2,10.8,6.8,76.7,0,0,0,,,,53.6,13.3,43.8,1023.2,34.9,12.6,128.2,11.1,5,,2015-01-14T07:24:18,2015-01-14T17:13:29,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-15,14.2,7,10.9,14.2,7,10.9,8.3,84.3,0,0,0,,,,,11.3,348.9,1025.4,61.4,6.6,62.4,5.4,2,,2015-01-15T07:24:00,2015-01-15T17:14:31,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-16,14.3,8.5,11.8,14.3,8.5,11.8,9.6,87,0,0,0,,,,,11.1,15,1024.6,73.7,7.2,82.7,7.1,3,,2015-01-16T07:23:39,2015-01-16T17:15:34,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-17,14.2,10.2,12.4,14.2,10.2,12.4,10.3,87.5,0,0,0,,,,,12.2,55.7,1024.7,68.8,11.2,91.9,7.9,4,,2015-01-17T07:23:16,2015-01-17T17:16:37,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-18,16.2,11.3,13.1,16.2,11.3,13.1,11.9,92.6,0.086,100,4.17,rain,,,42.9,10.8,330,1025.3,78.2,9.5,123.5,10.7,5,,2015-01-18T07:22:52,2015-01-18T17:17:41,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-19,15.5,10.3,13.3,15.5,10.3,13.3,11,86.7,0,0,0,,,,,13.1,1.6,1024.4,65.9,13.9,139.7,12.1,6,,2015-01-19T07:22:25,2015-01-19T17:18:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-20,14.5,9,11.1,14.5,9,11.1,9.1,87.9,0.063,100,4.17,rain,,,,11.7,308.4,1020,40,10.8,136.5,11.7,6,,2015-01-20T07:21:57,2015-01-20T17:19:50,1,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-21,16.2,7.4,11.3,16.2,6.4,11.1,6.5,73.6,0,0,0,,,,,13.2,64.7,1020.3,20.2,15.8,142,12.1,6,,2015-01-21T07:21:26,2015-01-21T17:20:55,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-22,13.9,7.6,10.5,13.9,5.7,9.9,6.5,76.8,0,0,0,,,,,19.9,61.6,1025.1,32.7,14.3,127.3,11,6,,2015-01-22T07:20:54,2015-01-22T17:22:01,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-23,17.8,6.8,11.5,17.8,6.2,11.3,7,75.4,0,0,0,,,,,8.9,322.3,1026.5,11.9,14.4,130.7,11.3,6,,2015-01-23T07:20:19,2015-01-23T17:23:07,0.06,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-24,19.7,9.9,13.8,19.7,9.9,13.8,7.7,68.8,0,0,0,,,,42.5,18.7,15,1021.9,7.1,15.4,148.9,12.8,6,,2015-01-24T07:19:43,2015-01-24T17:24:14,0.11,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-25,14.7,7.8,11.1,14.7,6.8,10.8,6.9,75.4,0,0,0,,,,,12.7,25.3,1019,7.4,15.1,153.7,13.3,6,,2015-01-25T07:19:05,2015-01-25T17:25:20,0.16,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-26,16,7.9,12.2,16,7.9,12.1,7.2,72.2,0,0,0,,,,,8.9,6.2,1016.2,60.4,15.9,83.5,7.2,5,,2015-01-26T07:18:25,2015-01-26T17:26:27,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-27,19.1,12.4,15.6,19.1,12.4,15.6,8.1,61.6,0,0,0,,,,33.5,15.3,106.5,1021.3,78.1,16,70.3,6,3,,2015-01-27T07:17:43,2015-01-27T17:27:34,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-28,17.1,8.8,12.7,17.1,8.8,12.7,9.2,80.3,0,0,0,,,,,13.3,308.3,1023.4,35.4,15.5,122.2,10.4,5,,2015-01-28T07:17:00,2015-01-28T17:28:41,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-29,17.2,8.5,12.1,17.2,8.5,12.1,9.8,86.2,0,0,0,,,,,16.5,296.5,1020.1,24.2,13.8,150,13.1,6,,2015-01-29T07:16:15,2015-01-29T17:29:48,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-30,16.3,8.9,12.2,16.3,8.9,12.1,10.3,88.9,0,0,0,,,,38.9,23.3,307.8,1015.5,35.9,14,151.8,13.1,6,,2015-01-30T07:15:28,2015-01-30T17:30:56,0.41,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-01-31,22.8,7.9,15.1,22.8,7.9,15.1,4.4,55.2,0,0,0,,,,,16.3,306.5,1014.8,12,15.9,154.3,13.6,6,,2015-01-31T07:14:39,2015-01-31T17:32:03,0.45,Clear,Clear conditions throughout the day.,clear-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-01,17.3,7.6,12.4,17.3,6.6,12.3,7.2,71.5,0,0,0,,,,,14.9,319,1020.1,55.3,16,140.1,12.2,6,,2015-02-01T07:13:49,2015-02-01T17:33:10,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-02,17.9,8,13,17.9,7.7,13,9.4,79.2,0,0,0,,,,,11.6,318.2,1020.7,57,12.2,139.3,11.9,6,,2015-02-02T07:12:57,2015-02-02T17:34:18,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-03,18.2,10.6,14,18.2,10.6,14,10.8,81.6,0,0,0,,,,,13.8,341.7,1019.1,63.4,14.5,146.6,12.6,6,,2015-02-03T07:12:04,2015-02-03T17:35:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-04,16.9,10,13.2,16.9,10,13.2,10.9,86.3,0,0,0,,,,,19.3,268.7,1017.7,67.4,10.5,143.6,12.5,6,,2015-02-04T07:11:09,2015-02-04T17:36:32,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-05,16.9,11.4,14.1,16.9,11.4,14.1,9.6,75,0,0,0,,,,55.4,31,151.3,1015.3,75.1,15.9,67.5,5.8,3,,2015-02-05T07:10:12,2015-02-05T17:37:39,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-06,17.3,14.9,16,17.3,14.9,16,12.7,81.2,20.223,100,58.33,rain,,,75.3,50.9,152.6,1011,95,13.4,75.1,6.5,4,,2015-02-06T07:09:14,2015-02-06T17:38:46,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-07,17.9,14.5,16.6,17.9,14.5,16.6,14.9,89.8,2.441,100,33.33,rain,,,60.3,41.9,191,1016.5,84.5,14.9,158.4,13.8,6,,2015-02-07T07:08:15,2015-02-07T17:39:53,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-08,17.7,13.2,15.9,17.7,13.2,15.9,13.4,85.6,27.269,100,37.5,rain,,,70.2,44.1,175.5,1014.3,83.4,13.4,86.7,7.5,3,,2015-02-08T07:07:14,2015-02-08T17:40:59,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-02-09,17.7,12.2,15.4,17.7,12.2,15.4,12.1,81.1,0.112,100,4.17,rain,,,48.6,24.6,245.1,1022.5,59.7,15.6,166.9,14.5,6,,2015-02-09T07:06:11,2015-02-09T17:42:06,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
